Date and Time	Maximum Line Voltage	Minimum Line Voltage	Line Voltage	Output Voltage	Battery Voltage	Output Frequency	UPS Load	UPS Internal Temperature	Probe 1 Temperature	Probe 1 Humidity	Probe 2 Temperature	Probe 2 Humidity	Input Frequency	Battery Capacity
04/07/2020 21:37:35	N/A	N/A	228.9	230.4	13.7	50.0	39.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/07/2020 21:57:35	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/07/2020 22:17:35	N/A	N/A	233.2	233.2	13.7	50.0	31.2	2.0	N/A	N/A	N/A	N/A	50.0	100
04/07/2020 22:37:35	N/A	N/A	223.2	223.2	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/07/2020 22:57:35	N/A	N/A	230.4	230.4	13.7	50.0	31.8	2.0	N/A	N/A	N/A	N/A	50.0	100
04/07/2020 23:17:35	N/A	N/A	233.2	233.2	13.7	49.75	26.0	2.0	N/A	N/A	N/A	N/A	49.75	100
04/07/2020 23:37:35	N/A	N/A	233.2	233.2	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/07/2020 23:57:35	N/A	N/A	233.2	233.2	13.7	49.75	38.3	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 00:17:35	N/A	N/A	234.7	234.7	13.8	50.0	32.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 00:37:35	N/A	N/A	234.7	234.7	13.7	50.0	27.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 00:57:35	N/A	N/A	234.7	234.7	13.7	50.0	35.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 01:17:35	N/A	N/A	234.7	237.6	13.7	50.0	38.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 10:01:49	N/A	N/A	230.4	230.4	13.7	50.0	39.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 10:21:49	N/A	N/A	230.4	230.4	13.7	50.0	37.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 10:41:49	N/A	N/A	228.9	228.9	13.7	50.0	27.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 11:01:49	N/A	N/A	230.4	230.4	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	49.75	100
04/08/2020 11:21:49	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 11:41:49	N/A	N/A	227.5	227.5	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 12:01:49	N/A	N/A	227.5	227.5	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/08/2020 12:21:49	N/A	N/A	224.6	224.6	13.7	49.75	22.1	2.0	N/A	N/A	N/A	N/A	49.75	100
